City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Hohhot,CN,85.14,broken clouds,40.8106,111.6522,Sheraton Hohhot Hotel
630,Vite,IN,85.35,overcast clouds,17.2833,74.55,Government Hostel
633,Lukoyanov,RU,83.82,overcast clouds,55.0277,44.4786,Отель РАЙ
639,Qurayyat,SA,87.55,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
646,Katete,UG,82.09,overcast clouds,-0.7818,29.7544,
651,Nokia,FI,86.58,clear sky,61.4667,23.5,Scandic Eden Nokia
654,Kasongo-Lunda,CD,85.82,broken clouds,-6.4667,16.8167,
655,Kilinochchi,LK,85.66,overcast clouds,9.3961,80.3982,Solaivanam Guest House
658,Panjakent,TJ,89.4,clear sky,39.4952,67.6093,Salom Hostel
671,Baltoji Voke,LT,86.45,scattered clouds,54.6,25.2,"AUKSINĖ AVIS, UAB"
672,Verkhnevilyuysk,RU,89.69,broken clouds,63.4453,120.3167,Gostinitsa Mila
673,Ouallam,NE,89.94,broken clouds,14.3188,2.0866,
675,Ishigaki,JP,80.6,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
676,Batagay-Alyta,RU,80.1,few clouds,67.8006,130.4114,
678,Koslan,RU,87.89,few clouds,63.4564,48.8989,
680,Sompeta,IN,89.38,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
