City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Puerto Gaitan,11.5833,-11.9,72.0,84,67,2.57,GN,2021-06-19 08:07:41
126,Puerto Gaitan,-28.6275,-53.0897,50.11,99,100,4.23,BR,2021-06-19 08:07:41
127,Puerto Gaitan,38.5167,-28.7,66.6,82,20,8.05,PT,2021-06-19 08:05:50
128,Puerto Gaitan,-31.393,-58.0209,46.78,95,63,5.99,AR,2021-06-19 08:07:41
129,Puerto Gaitan,54.3419,101.5036,75.0,49,83,4.7,RU,2021-06-19 08:07:41
130,Puerto Gaitan,34.6667,138.95,71.01,91,100,10.8,JP,2021-06-19 08:06:36
131,Puerto Gaitan,33.6891,-78.8867,77.99,89,1,5.75,US,2021-06-19 08:07:42
132,Puerto Gaitan,42.097,-79.2353,71.19,93,40,5.01,US,2021-06-19 08:05:56
133,Puerto Gaitan,57.3064,88.1667,87.8,32,92,8.88,RU,2021-06-19 08:07:42
134,Puerto Gaitan,47.5667,20.5333,80.62,57,0,8.7,HU,2021-06-19 08:07:42
135,Puerto Gaitan,-37.8333,140.7667,50.76,83,87,6.29,AU,2021-06-19 08:06:40
136,Puerto Gaitan,46.844,74.9804,81.21,36,40,20.13,KZ,2021-06-19 08:07:42
137,Puerto Gaitan,-0.75,-48.02,72.7,97,36,5.17,BR,2021-06-19 08:07:43
138,Puerto Gaitan,-41.1456,-71.3082,33.44,68,75,5.75,AR,2021-06-19 08:07:43
139,Puerto Gaitan,64.8378,-147.7164,66.16,63,1,0.0,US,2021-06-19 08:05:32
140,Puerto Gaitan,35.7333,140.8333,72.0,81,100,18.34,JP,2021-06-19 08:06:27
141,Puerto Gaitan,19.7297,-155.09,75.27,83,1,5.75,US,2021-06-19 08:06:00
142,Puerto Gaitan,-24.4167,150.5,55.42,55,44,9.44,AU,2021-06-19 08:07:43
143,Puerto Gaitan,5.1544,120.3241,84.69,67,72,2.19,PH,2021-06-19 08:07:44
144,Puerto Gaitan,50.0334,-66.8654,53.74,99,100,6.96,CA,2021-06-19 08:07:44
145,Puerto Gaitan,18.4167,-64.6167,81.19,75,80,21.09,VG,2021-06-19 08:07:44
146,Puerto Gaitan,20.7,-105.2,76.23,84,100,4.0,MX,2021-06-19 08:06:34
147,Puerto Gaitan,47.6666,-52.7314,56.88,82,90,11.5,CA,2021-06-19 08:03:21
148,Puerto Gaitan,30.2455,-85.6483,79.99,81,40,1.01,US,2021-06-19 08:07:45
149,Puerto Gaitan,-14.7,-74.1333,45.79,78,17,4.23,PE,2021-06-19 08:07:45
150,Puerto Gaitan,-25.2406,130.9889,57.04,44,62,9.22,AU,2021-06-19 08:07:45
151,Puerto Gaitan,13.6017,26.6876,90.72,35,18,7.9,SD,2021-06-19 08:07:45
152,Puerto Gaitan,69.2167,-51.1,41.02,65,1,4.61,GL,2021-06-19 08:07:08
